[28.03.2026 23:02:51] Ставка: 3232, Выигрыш: 6464, Баланс: 8232
[28.03.2026 23:02:56] Ставка: 3232, Выигрыш: 0, Баланс: 5000
[28.03.2026 23:03:00] Ставка: 3232, Выигрыш: 6464, Баланс: 8232
[28.03.2026 23:03:04] Ставка: 3232, Выигрыш: 6464, Баланс: 11464
[28.03.2026 23:03:53] Ставка: 3232, Выигрыш: 0, Баланс: 8232
[28.03.2026 23:03:56] Ставка: 3232, Выигрыш: 6464, Баланс: 11464
[28.03.2026 23:04:00] Ставка: 3232, Выигрыш: 0, Баланс: 8232
[28.03.2026 23:04:32] Ставка: 3232, Выигрыш: 0, Баланс: 5000
[28.03.2026 23:05:07] Ставка: 3232, Выигрыш: 0, Баланс: 1768
[28.03.2026 23:05:50] Ставка: 33, Выигрыш: 66, Баланс: 5033
[28.03.2026 23:05:56] Ставка: 33, Выигрыш: 66, Баланс: 5066
[28.03.2026 23:06:00] Ставка: 33, Выигрыш: 0, Баланс: 5033
[28.03.2026 23:11:03] Ставка: 500, Выигрыш: 0, Баланс: 4500
[28.03.2026 23:11:08] Ставка: 500, Выигрыш: 0, Баланс: 4000
[28.03.2026 23:11:12] Ставка: 500, Выигрыш: 0, Баланс: 3500
[28.03.2026 23:11:15] Ставка: 500, Выигрыш: 1000, Баланс: 4000
[28.03.2026 23:11:20] Ставка: 500, Выигрыш: 0, Баланс: 3500
[28.03.2026 23:18:50] Ставка: 500, Выигрыш: 1000, Баланс: 1500
[28.03.2026 23:19:55] Ставка: 500, Выигрыш: 0, Баланс: 4500
[28.03.2026 23:20:19] Ставка: 500, Выигрыш: 1000, Баланс: 5500
[28.03.2026 23:20:23] Ставка: 500, Выигрыш: 1000, Баланс: 6000
[28.03.2026 23:20:27] Ставка: 500, Выигрыш: 0, Баланс: 5500
[28.03.2026 23:20:31] Ставка: 500, Выигрыш: 0, Баланс: 5000
[10.04.2026 13:48:12] Ставка: 222, Выигрыш: 0, Баланс: 4778
[10.04.2026 13:48:16] Ставка: 222, Выигрыш: 0, Баланс: 4556
[10.04.2026 13:48:20] Ставка: 222, Выигрыш: 0, Баланс: 4334
[10.04.2026 13:48:24] Ставка: 222, Выигрыш: 0, Баланс: 4112
[10.04.2026 13:48:27] Ставка: 222, Выигрыш: 0, Баланс: 3890
[10.04.2026 13:48:32] Ставка: 222, Выигрыш: 0, Баланс: 3668
[10.04.2026 13:48:35] Ставка: 222, Выигрыш: 444, Баланс: 3890
[10.04.2026 13:50:19] Ставка: 222, Выигрыш: 0, Баланс: 3668
[10.04.2026 13:50:23] Ставка: 222, Выигрыш: 0, Баланс: 3446
